W,M
state,"상태, 상황, 국가, 주(州), 진술하다, 말하다"
statement,"성명(서), 진술, 주장"
statesman,정치인
stateswoman,정치인
statistics,"통계(치[량/표]), 통계학"
statistical,통계(상)의
statue,"(사람, 동물 등의) 상(像), 조각상"
status,"(법적, 직업적, 사회적) 지위, 신분, 위상, (진행) 상황"
stable,"안정된, 견고한, 마구간, 외양간"
stability,안정(성)
establish,"(기업, 단체 등을) 설립하다, (제도, 법률 등을) 제정하다, 수립[확립]하다, (사실 등을) 입증하다, 증명하다"
establishment,"기관, 단체, 설립, 제정"
constant,"끊임없는, 계속되는, (속도, 양, 수준 등이) 불변의, 불변(의 것), 상수"
constantly,"끊임없이, 항상"
estate,"재산, 자산, 토지, 소유지"
instance,"예, 실례, 사례, 경우"
instant,"즉석의, 즉각적인, 인스턴트의, 즉석 요리의, 즉시, 순간, 찰나"
instantly,"곧, 당장, 즉석에서"
install,"(장비, 가구를) 설치[설비]하다, ...을 취임시키다, 임명하다"
installation,설치
obstacle,"장애(물), 방해(물)"
substance,"물질, 물체, 실체, 본체, 본질, (이야기 등의) 요지, 중요한 부분"
substantial,"(양, 정도 등이) 상당한, 많은, 본질[실질]적인, 중요한"
